Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Scope_Complexity_Numeric,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk
P0061,Smart Solar Grid,Road,Medium,5798669,61,37,45,1.1,0.59,547,Not Feasible,2,,,16184.91,1298335.07,199,64.31,1064255.35,100,48.27,1569167.23,109,32.53,763836.99,64,23.14,1103074.36,75,16.74
P0062,Urban Flyover,Power Plant,Medium,2870928,94,76,38,7.5,0.96,176,Feasible,2,,,401.12,272965.31,22,61.9,409193.78,30,77.52,518632.73,30,54.41,1350105.25,69,97.83,320030.92,24,88.33
P0063,Dam Reinforcement,Power Plant,High,5155299,52,33,64,1.36,0.52,128,Feasible,3,,,698.65,286251.4,21,25.34,596629.87,24,38.08,910048.86,23,21.2,2718935.45,45,42.27,643433.42,16,38.12
P0064,Industrial Complex,Road,Medium,3557489,71,80,45,0.67,0.73,124,Feasible,2,,,9583.01,936660.74,39,100.0,533842.22,21,100.0,929249.04,30,64.85,418910.09,19,52.77,738826.92,16,39.88
P0065,Dam Reinforcement,Building,Low,2773415,93,96,41,9.76,0.66,454,Feasible,1,,,1299.07,151714.03,35,79.56,362036.94,53,100.0,863376.46,110,86.73,788914.12,98,100.0,607373.45,158,48.13
P0066,Industrial Complex,Water Infra,High,6000193,51,74,77,9.57,0.83,233,Feasible,3,,,2517.94,797068.0,43,89.29,1069970.94,51,99.74,2497572.09,73,41.42,1171747.52,37,66.92,463834.45,29,72.63
P0067,Smart Solar Grid,Road,Low,6702653,73,37,82,0.6,0.92,384,Not Feasible,1,,,16183.37,1612606.18,146,65.69,1035562.35,76,46.34,1694806.57,82,33.2,961631.04,41,20.21,1398046.86,39,19.56
P0068,Industrial Complex,Bridge,High,3305413,83,45,47,4.43,0.68,292,Feasible,3,,,550.97,298705.64,24,37.28,642404.8,79,78.34,1468304.61,98,68.67,417928.22,47,26.57,478069.73,44,14.13
P0069,Industrial Complex,Building,High,4910197,76,96,84,1.86,0.71,339,Not Feasible,3,,,1707.07,314239.19,29,92.5,541742.17,48,100.0,1414918.45,84,61.66,1538416.04,81,100.0,1100881.14,97,47.1
P0070,Smart Solar Grid,Water Infra,Medium,6558019,90,38,63,4.85,0.99,324,Borderline,2,,,2886.51,930225.21,61,47.33,1145448.5,76,51.72,2575940.53,90,20.02,1274320.44,59,34.79,632084.32,38,36.15
P0071,Industrial Complex,Power Plant,Low,6414709,50,89,62,8.3,0.89,143,Feasible,1,,,906.44,563643.66,16,70.93,750653.5,27,100.0,1002735.19,26,57.42,3314309.72,58,100.0,783366.92,17,100.0
P0072,Urban Flyover,Bridge,Medium,1271836,57,44,56,9.51,0.95,577,Not Feasible,2,,,236.67,81172.06,32,29.99,307071.65,151,80.13,554142.41,235,63.87,194898.74,72,29.12,134551.14,87,16.9
P0073,Highway Expansion,Power Plant,Low,4584702,72,70,85,6.34,0.72,289,Feasible,1,,,538.23,338196.28,39,57.77,492317.63,55,81.41,658359.82,55,45.49,2502598.56,103,93.53,593229.71,37,71.8
P0074,Smart Solar Grid,Bridge,Medium,3095505,87,51,36,3.54,0.62,525,Feasible,2,,,497.76,178389.82,36,37.2,786990.03,168,87.08,1314270.6,188,83.8,455588.58,64,31.85,360265.97,71,15.07
P0075,Highway Expansion,Water Infra,High,3299435,55,53,59,6.03,0.71,222,Borderline,3,,,1359.34,457650.67,36,65.51,660259.46,56,72.63,1249119.38,59,36.89,705497.51,37,40.75,226907.97,34,49.22
P0076,Smart Solar Grid,Bridge,Low,1196769,71,73,57,3.12,0.86,179,Feasible,1,,,252.6,88513.82,13,49.0,267153.44,44,100.0,511161.34,71,100.0,166463.37,24,52.41,163477.02,27,23.85
P0077,Smart Solar Grid,Water Infra,Low,3658505,74,30,80,9.1,0.55,205,Feasible,1,,,1727.35,414203.64,36,35.35,674196.51,43,41.3,1536400.23,64,18.39,759886.44,35,27.48,273818.16,26,27.48
P0078,Dam Reinforcement,Road,High,2271741,67,39,28,8.7,0.64,374,Feasible,3,,,4601.31,594648.5,118,64.02,367946.43,68,51.7,592972.62,80,35.2,264015.14,51,21.18,452158.31,56,22.91
P0079,Dam Reinforcement,Road,High,4769315,66,85,96,5.58,0.52,284,Feasible,3,,,7649.99,985078.36,92,100.0,719995.52,45,100.0,1337880.94,70,72.7,686206.69,38,53.11,1040153.48,39,40.87
P0080,Industrial Complex,Bridge,Medium,2046797,61,79,94,3.25,0.72,491,Feasible,2,,,371.57,148584.98,28,63.87,495120.88,144,100.0,873022.65,196,100.0,264399.97,64,53.03,265668.51,59,36.8
P0081,Highway Expansion,Building,Low,4047262,55,41,80,2.93,0.91,286,Feasible,1,,,1445.76,252325.58,20,39.67,522977.83,36,65.59,1009506.35,53,34.3,1258521.22,73,47.94,1003931.02,103,17.51
P0082,Smart Solar Grid,Power Plant,Medium,2584398,75,89,99,0.33,0.51,203,Feasible,2,,,372.79,165205.83,28,70.33,348650.65,32,100.0,413204.44,30,61.56,1293779.55,86,100.0,363557.53,26,97.0
P0083,Industrial Complex,Bridge,Low,3585031,76,55,35,8.16,0.84,577,Not Feasible,1,,,576.57,291120.83,54,45.33,641755.35,151,92.14,1562857.71,227,82.26,548168.22,74,39.07,541128.89,72,16.21
P0084,Urban Flyover,Bridge,Low,1564685,57,70,21,4.5,0.97,321,Feasible,1,,,311.16,137639.76,36,53.57,377058.56,76,100.0,618559.41,116,100.0,253493.55,46,44.98,177933.72,47,24.78
P0085,Smart Solar Grid,Power Plant,Medium,3879190,68,65,91,3.25,0.62,209,Feasible,2,,,584.22,202746.18,24,56.32,551954.63,35,66.42,637281.2,39,39.55,2014999.96,88,87.87,472208.03,22,74.84
P0086,Urban Flyover,Bridge,High,6596411,91,52,62,4.71,0.85,208,Feasible,3,,,1464.03,569946.91,14,40.09,1609136.46,64,87.39,2557884.33,68,74.58,895242.17,30,33.65,964201.13,32,24.28
P0087,Industrial Complex,Power Plant,High,2311736,50,72,61,8.19,0.99,556,Feasible,3,,,377.96,137796.21,63,60.28,347983.57,94,74.53,403711.26,87,46.94,1177530.54,224,93.53,244714.43,88,84.72
P0088,Dam Reinforcement,Water Infra,Medium,2007293,78,35,96,1.25,0.98,239,Borderline,2,,,828.28,279641.33,41,41.67,446850.85,57,49.12,800191.6,75,18.75,349310.1,37,32.44,131299.13,29,33.01
P0089,Industrial Complex,Building,High,5774183,94,98,76,8.58,0.62,275,Not Feasible,3,,,2821.26,406311.82,17,85.81,968751.02,40,100.0,1616581.75,60,83.86,1747229.28,70,100.0,1035309.12,88,41.29
P0090,Urban Flyover,Road,Medium,4366612,98,72,86,8.98,0.55,580,Feasible,2,,,6664.89,1051662.51,208,100.0,726433.42,94,96.96,1036868.05,129,60.63,585384.09,76,42.94,966263.93,73,31.42
P0091,Smart Solar Grid,Road,High,1023247,84,54,49,9.47,0.57,518,Feasible,3,,,1883.92,284116.17,199,94.9,168111.86,76,64.02,254251.47,118,48.22,113929.31,70,30.38,202838.19,54,32.48
P0092,Highway Expansion,Building,Medium,6267180,89,47,32,3.97,0.85,307,Feasible,2,,,3103.59,359709.44,34,42.0,960625.5,51,75.63,1517208.09,53,38.36,1949085.29,74,58.14,1480551.68,95,20.87
P0093,Industrial Complex,Power Plant,Medium,3704238,63,91,38,2.17,0.86,307,Feasible,2,,,461.58,229367.83,35,66.54,478889.98,50,97.27,698857.99,56,63.67,1943421.58,129,100.0,353700.62,36,100.0
P0094,Smart Solar Grid,Building,Medium,3630708,84,42,26,3.74,0.84,381,Not Feasible,2,,,1433.02,235255.92,43,34.99,391361.98,53,73.74,916307.56,72,25.07,1262948.77,100,52.02,824833.77,114,24.19
P0095,Dam Reinforcement,Power Plant,Medium,4494679,97,72,28,3.33,0.67,171,Borderline,2,,,579.75,293772.01,24,58.09,552095.12,32,82.35,852893.86,29,44.89,2249342.18,70,88.84,546575.83,16,85.83
P0096,Dam Reinforcement,Building,High,6517209,94,57,73,1.76,0.58,259,Feasible,3,,,3258.32,381891.81,18,49.96,861146.18,45,86.8,2032331.55,51,44.76,1742078.41,64,68.26,1499761.05,81,35.22
P0097,Dam Reinforcement,Bridge,Low,2767640,69,47,80,6.07,0.79,138,Not Feasible,1,,,485.57,222076.1,13,35.51,558972.88,38,77.69,1223357.82,52,67.37,331549.11,17,33.5,431684.1,18,20.93
P0098,Smart Solar Grid,Bridge,High,3613740,98,88,21,4.77,0.74,599,Feasible,3,,,777.84,239693.7,47,61.01,765669.1,148,100.0,1641845.56,235,100.0,538264.97,76,61.78,428266.67,93,34.73
P0099,Industrial Complex,Building,Low,2285160,62,89,69,8.66,0.86,194,Not Feasible,1,,,809.42,130078.89,11,79.78,318567.45,24,100.0,570543.4,46,68.71,827503.79,52,95.76,438466.47,61,56.48
P0100,Smart Solar Grid,Water Infra,Medium,6805212,87,92,94,0.32,0.72,349,Feasible,2,,,3287.83,707381.24,55,100.0,1297895.07,79,100.0,2636629.49,111,63.06,1592715.79,67,77.13,570590.4,37,94.91
P0101,Smart Solar Grid,Building,Low,6173036,98,86,50,6.44,0.67,249,Borderline,1,,,2275.16,233540.06,16,81.03,770155.27,33,100.0,1775716.59,63,70.64,2180006.14,67,100.0,1213617.94,70,36.79
P0102,Highway Expansion,Road,Low,2425472,95,80,52,7.63,0.65,174,Feasible,1,,,4676.27,580018.19,64,100.0,449206.45,30,94.78,607253.68,38,72.42,229022.55,19,46.81,559971.13,23,53.38
P0103,Highway Expansion,Bridge,High,1048984,98,85,97,7.59,0.61,390,Feasible,3,,,186.99,70375.33,34,64.78,273443.73,113,100.0,433130.88,139,100.0,148633.74,54,50.89,123400.32,51,30.85
P0104,Industrial Complex,Building,Medium,3400070,57,56,99,8.86,0.63,567,Not Feasible,2,,,1081.48,171924.53,42,52.53,488378.46,68,89.9,950359.71,113,37.06,1096724.98,170,62.2,692682.32,173,38.31
P0105,Highway Expansion,Road,Medium,4265879,92,61,30,7.29,0.55,219,Not Feasible,2,,,10719.21,1007547.7,76,100.0,657772.96,35,75.82,1091083.28,52,48.87,608391.73,27,34.18,901083.33,29,37.29
P0106,Dam Reinforcement,Bridge,Medium,2504384,69,38,52,9.28,0.67,188,Borderline,2,,,409.42,142306.35,12,26.8,664732.4,58,64.36,1035128.15,73,56.52,355811.49,24,26.72,306405.6,22,15.6
P0107,Highway Expansion,Water Infra,Low,3230919,82,97,26,3.33,0.52,518,Borderline,1,,,1394.92,458776.49,94,100.0,536456.85,116,100.0,1237370.05,145,59.09,750870.57,83,79.45,247445.04,80,100.0
P0108,Dam Reinforcement,Water Infra,Medium,2752126,75,75,50,5.03,0.59,418,Borderline,2,,,1213.28,376235.13,75,91.39,427789.82,102,100.0,1102216.88,122,48.17,618619.34,72,59.88,227264.82,47,74.17
P0109,Industrial Complex,Road,High,5330634,88,96,67,0.14,0.87,577,Borderline,3,,,7993.89,1403502.57,197,100.0,952455.17,94,100.0,1253220.49,145,90.31,643116.98,70,51.01,1078338.78,71,48.0
P0110,Smart Solar Grid,Building,Low,2737095,70,55,66,0.07,0.66,136,Borderline,1,,,1290.51,135393.66,14,44.23,380235.1,16,89.53,931630.36,29,34.59,732693.24,29,69.11,557142.64,48,37.55
P0111,Smart Solar Grid,Bridge,Low,3111138,98,37,97,2.4,0.83,473,Feasible,1,,,540.31,214990.09,35,26.05,621582.65,137,64.42,1380543.23,160,55.24,432403.27,66,26.47,461618.75,75,12.83
P0112,Highway Expansion,Water Infra,Low,5780450,91,35,72,1.01,0.86,235,Feasible,1,,,3038.57,658187.61,43,39.73,1054240.7,49,48.55,2203967.7,76,19.24,1361617.2,43,32.18,502436.78,25,35.3
P0113,Dam Reinforcement,Road,Low,3109818,92,53,99,2.6,0.79,271,Borderline,1,,,4688.93,853105.26,94,93.63,480375.86,50,62.4,774562.25,60,48.07,342980.48,28,34.18,658794.14,39,26.73
P0114,Urban Flyover,Power Plant,High,3231785,90,77,38,1.77,0.98,449,Not Feasible,3,,,466.97,209948.74,56,58.53,396989.23,93,81.41,510347.53,82,51.56,1791379.37,159,100.0,323120.13,60,89.39
P0115,Urban Flyover,Building,Low,5483302,58,74,25,0.29,0.51,235,Feasible,1,,,2111.77,280948.92,18,73.3,818457.73,33,100.0,1670945.4,39,49.77,1829750.79,69,84.27,883199.16,75,31.93
P0116,Urban Flyover,Power Plant,Low,3948089,73,42,68,9.09,0.87,149,Feasible,1,,,501.51,350213.01,17,32.33,506078.44,28,44.12,636171.8,23,30.26,2028681.78,56,55.11,426943.96,25,48.18
P0117,Smart Solar Grid,Building,High,3725928,86,98,92,0.08,0.98,442,Feasible,3,,,1367.92,306152.35,29,82.03,547198.17,65,100.0,1095846.83,90,68.48,1060438.77,124,100.0,716291.87,134,51.95
P0118,Smart Solar Grid,Bridge,Medium,4853339,98,54,69,7.36,0.93,170,Feasible,2,,,887.63,409884.32,14,42.7,1208348.15,38,93.5,1902548.15,66,75.6,581561.31,27,38.4,750997.06,27,19.8
P0119,Dam Reinforcement,Road,High,2843400,90,49,31,1.52,0.58,179,Borderline,3,,,5317.58,670261.75,63,81.49,471088.96,32,63.53,797261.28,39,39.7,320891.1,22,29.39,583896.9,23,30.88
P0120,Highway Expansion,Bridge,Medium,2079111,66,95,42,9.12,0.66,348,Feasible,2,,,344.64,153179.2,31,71.71,446852.57,98,100.0,948591.85,132,100.0,252452.49,40,56.96,278034.89,46,34.5
