Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk,Site_Prep_Actual_Cost,Site_Prep_Actual_Days,Foundations_Actual_Cost,Foundations_Actual_Days,Structure_Actual_Cost,Structure_Actual_Days,Systems_Actual_Cost,Systems_Actual_Days,Finishing_Actual_Cost,Finishing_Actual_Days,Actual_Cost_Total,Actual_Time_Total,Comp_High,Comp_Low,Comp_Medium
P0030,Dam Reinforcement,Road,High,5842447,66,86,50,4.73,0.52,553,Feasible,,,12368.42,1161633.64,199,100.0,883511.9,87,100.0,1643154.1,120,76.57,822299.15,77,48.36,1331848.22,69,35.23,1357836.95,289,1032739.64,126,1879776.98,158,916064.47,89,1465133.98,74,6651552.02,736,True,False,False
P0031,Industrial Complex,Water Infra,High,2500942,83,84,31,6.77,0.56,386,Borderline,,,1140.53,274704.34,62,97.01,397882.41,77,100.0,1044908.08,125,45.61,532947.16,71,69.62,250500.02,50,93.6,322846.78,89,468886.55,112,1170491.24,142,610708.58,90,293485.48,71,2866418.63,504,True,False,False
P0032,Industrial Complex,Building,Medium,5260029,73,45,65,8.75,0.59,388,Not Feasible,,,2006.75,289210.39,25,44.26,617322.91,58,73.06,1635409.07,70,31.21,1312884.81,100,47.37,1405201.81,136,29.09,322020.32,27,706312.91,72,1798184.54,71,1466180.69,110,1541887.9,136,5834586.36,416,False,False,True
P0033,Smart Solar Grid,Road,Medium,4275709,81,43,50,7.49,0.75,216,Feasible,,,10131.72,1169216.59,68,74.48,642576.83,43,58.9,1199738.18,46,39.27,442948.6,32,23.39,821228.8,27,18.97,1334750.85,85,722914.46,50,1324712.92,49,481616.55,31,889062.87,25,4753057.65,240,False,False,True
P0034,Smart Solar Grid,Power Plant,Medium,1084654,50,68,51,9.39,0.92,553,Feasible,,,127.01,54446.21,66,58.23,124230.25,103,77.09,178544.97,100,46.09,592316.48,225,90.23,135116.1,59,68.36,61679.57,77,143242.85,131,199944.88,110,691298.4,302,154531.97,72,1250697.67,692,False,False,True
P0035,Industrial Complex,Water Infra,High,6147581,57,57,51,0.54,0.62,476,Feasible,,,2728.49,747926.89,90,65.99,1137610.73,106,79.02,2486842.31,131,38.06,1278944.1,96,46.62,496256.97,54,55.31,805583.53,113,1240284.95,141,2608368.85,143,1352505.04,110,529157.52,64,6535899.89,571,True,False,False
P0036,Urban Flyover,Bridge,High,2954354,94,80,72,0.12,0.97,413,Feasible,,,614.74,184947.25,24,61.71,525233.89,113,100.0,1444672.57,166,100.0,363824.43,48,52.32,435675.87,62,29.46,197159.45,29,580108.5,164,1595606.93,241,384417.8,56,450336.12,65,3207628.8,555,True,False,False
P0037,Urban Flyover,Bridge,Low,3416182,72,78,80,6.61,0.98,120,Feasible,,,603.81,222093.54,12,54.41,629259.95,32,100.0,1447908.43,47,100.0,537541.53,14,48.34,579378.55,15,28.25,239690.33,13,708480.42,43,1630192.37,64,576792.04,15,609770.21,14,3764925.37,149,False,True,False
P0038,Dam Reinforcement,Road,Low,4474675,96,38,65,2.89,0.98,414,Feasible,,,7274.16,1133242.62,155,67.8,633475.62,66,47.53,1171507.39,96,30.11,590692.68,49,23.85,945756.7,47,20.71,1203313.13,183,659875.82,71,1200036.55,94,601400.47,46,959947.84,43,4624573.81,437,False,True,False
P0039,Urban Flyover,Bridge,Low,3652991,89,87,93,2.54,0.92,146,Not Feasible,,,729.35,323197.36,14,72.43,760188.94,38,100.0,1623543.2,51,100.0,514624.47,20,54.1,431437.03,23,31.45,341264.95,17,823320.94,51,1758374.85,69,534105.65,22,438147.69,23,3895214.08,182,False,True,False
P0040,Industrial Complex,Bridge,Low,3428388,61,74,99,3.31,0.68,155,Feasible,,,595.56,208480.34,16,59.97,822250.89,42,100.0,1428786.8,59,100.0,500327.25,19,52.35,468542.72,19,24.08,219181.85,18,897104.32,57,1558856.1,80,522228.15,21,475914.56,18,3673284.98,194,False,True,False
P0041,Industrial Complex,Building,High,1528178,61,51,26,2.7,0.54,279,Feasible,,,477.63,85351.16,28,50.17,209141.29,35,83.89,412438.61,46,39.14,464778.07,82,53.41,356468.86,87,28.4,92304.51,33,233441.94,48,441354.2,50,504193.17,97,377517.91,90,1648811.73,318,True,False,False
P0042,Highway Expansion,Power Plant,High,3663046,95,61,23,5.11,0.78,544,Not Feasible,,,535.13,274126.68,57,53.5,470428.65,90,71.56,617957.0,98,36.98,1876670.45,211,78.36,423863.23,88,64.59,304395.54,67,531328.0,116,675431.14,106,2133065.68,280,475620.5,110,4119840.86,679,True,False,False
P0043,Industrial Complex,Bridge,Low,3586644,96,98,71,4.4,0.78,518,Borderline,,,630.28,225564.34,45,76.07,629473.47,157,100.0,1657250.48,205,100.0,496877.07,53,60.73,577478.64,58,30.06,243293.26,55,694047.56,213,1827258.36,278,528290.65,61,596235.14,57,3889124.97,664,False,True,False
P0044,Urban Flyover,Bridge,Low,6499720,64,98,50,5.12,0.92,150,Feasible,,,1107.89,496780.53,13,76.35,1463052.46,35,100.0,2857163.43,62,100.0,852003.17,21,62.73,830720.41,20,36.62,539919.85,16,1625039.04,47,3173503.51,84,914271.89,24,869532.22,20,7122266.51,191,False,True,False
P0045,Dam Reinforcement,Water Infra,High,3570406,90,71,94,6.73,1.0,246,Feasible,,,1379.1,499032.07,38,83.47,639908.49,55,95.26,1432659.62,76,47.55,763696.92,45,65.32,235108.9,32,63.41,579170.51,51,750751.48,78,1607603.26,87,871489.62,56,267812.54,40,4076827.41,312,True,False,False
P0046,Highway Expansion,Road,Low,4416664,68,82,55,3.87,0.75,381,Feasible,,,7852.18,968790.87,138,100.0,761195.14,64,100.0,1219640.18,78,65.03,539556.49,48,50.14,927481.32,53,37.49,1070421.13,187,841047.73,87,1304744.62,91,569136.02,52,966542.69,54,4751892.19,471,False,True,False
P0047,Urban Flyover,Building,Medium,4385659,75,88,73,2.51,0.67,464,Borderline,,,1465.43,262936.59,45,76.96,591578.17,56,100.0,1397150.47,90,67.74,1251358.71,109,92.84,882635.06,164,44.32,284455.03,57,653683.99,78,1498551.66,110,1373730.15,148,925929.23,178,4736350.06,571,False,False,True
P0048,Dam Reinforcement,Road,High,4385357,78,68,73,1.66,0.59,555,Not Feasible,,,10267.71,1145967.82,192,100.0,782446.8,108,91.04,1084132.49,114,60.92,479585.84,66,36.9,893224.05,75,40.88,1297560.9,279,878735.42,151,1183934.4,140,511877.3,72,957025.95,83,4829133.97,725,True,False,False
P0049,Urban Flyover,Water Infra,Medium,3795513,71,44,36,3.49,0.5,329,Feasible,,,1802.53,382217.26,55,51.59,710879.55,86,58.19,1508357.6,89,27.4,929709.77,60,38.63,264348.82,40,44.19,407753.86,62,763134.37,100,1572118.28,88,979601.85,63,280025.93,43,4002634.29,356,False,False,True
P0050,Highway Expansion,Water Infra,Medium,2465689,89,58,94,7.42,0.75,269,Not Feasible,,,1121.38,292591.93,47,66.86,486238.62,60,78.4,988406.66,81,31.34,501585.69,47,51.92,196866.1,34,61.48,328475.13,57,551775.03,77,1072680.14,82,555214.2,53,219895.06,40,2728039.56,309,False,False,True
P0051,Industrial Complex,Water Infra,High,1068148,70,32,49,7.57,0.78,150,Not Feasible,,,548.24,157406.5,23,36.27,173921.68,35,41.49,440647.94,45,20.9,236921.95,26,28.63,59249.94,21,32.72,175954.69,25,195395.29,39,485266.39,45,262887.39,27,66004.84,22,1185508.6,158,True,False,False
P0052,Highway Expansion,Bridge,High,2825665,87,39,41,6.67,0.91,219,Borderline,,,625.17,157177.14,23,28.24,619418.91,52,65.18,1283499.93,76,60.71,403757.04,37,25.49,361811.97,31,15.37,172891.51,24,705825.34,65,1456405.45,93,442936.35,38,393004.06,30,3171062.71,250,True,False,False
P0053,Industrial Complex,Road,Medium,3745683,69,58,62,2.34,0.75,448,Feasible,,,7962.37,923333.28,159,97.75,569820.2,82,76.56,979709.37,99,50.61,459574.07,50,35.22,813246.08,59,29.87,1023086.84,220,619193.86,104,1038937.34,111,480218.33,52,845385.8,59,4006822.17,546,False,False,True
P0054,Highway Expansion,Road,Low,4397723,78,64,46,5.88,0.96,421,Feasible,,,6470.26,1186361.52,142,100.0,663153.45,80,80.26,1107932.0,101,52.49,487970.98,46,32.29,952305.05,52,39.4,1334349.49,192,732490.82,100,1192314.82,111,515057.33,45,1012088.89,53,4786301.35,501,False,True,False
P0055,Smart Solar Grid,Road,Low,4003758,53,35,56,5.71,0.81,570,Feasible,,,6708.91,856411.63,219,62.23,640664.31,107,45.61,1100095.92,115,30.92,510632.87,68,21.27,895953.26,61,14.98,928893.84,252,684014.37,113,1158031.79,113,532493.49,63,928555.36,55,4231988.85,596,False,True,False
P0056,Urban Flyover,Power Plant,High,5056518,56,41,65,4.84,0.92,472,Borderline,,,712.63,446769.68,65,31.33,650483.22,90,46.89,724795.21,88,28.16,2714732.4,146,55.65,519737.49,83,42.97,484500.02,68,716060.32,103,783589.26,91,3013418.41,174,569991.42,93,5567559.43,529,True,False,False
P0057,Urban Flyover,Building,Medium,3669995,77,67,54,5.5,0.57,338,Not Feasible,,,1702.29,255969.87,26,57.12,435341.76,51,100.0,1109015.58,58,50.9,930666.86,78,66.12,939000.93,125,42.34,279811.2,30,495193.54,71,1205177.45,65,1026011.66,94,1012109.22,134,4018303.07,394,False,False,True
P0058,Smart Solar Grid,Bridge,Medium,5450812,77,48,23,4.92,0.93,372,Feasible,,,840.92,439535.17,32,36.73,1284200.03,108,77.99,2402709.66,127,74.27,686356.72,60,28.35,638010.43,44,22.66,468212.99,33,1422432.19,138,2652155.03,159,725228.74,60,670414.21,42,5938443.16,432,False,False,True
P0059,Industrial Complex,Building,High,5997895,53,96,99,5.65,0.84,290,Feasible,,,2024.71,250691.07,21,75.89,755492.55,34,100.0,2043374.6,77,68.78,1701388.51,74,100.0,1246948.28,85,64.33,286174.37,28,881752.84,49,2317182.86,98,1985729.91,107,1408149.42,106,6878989.4,388,True,False,False
P0060,Urban Flyover,Bridge,High,6091246,71,37,99,7.16,0.59,376,Feasible,,,1000.8,519539.33,27,29.86,1171517.03,117,63.41,2474476.77,124,55.46,955274.59,50,20.84,970438.28,59,15.43,575227.73,28,1339345.25,145,2807814.13,148,1048405.04,50,1059402.77,57,6830194.92,428,True,False,False
P0061,Smart Solar Grid,Road,Medium,5798669,61,37,45,1.1,0.59,547,Not Feasible,,,16184.91,1298335.07,199,64.31,1064255.35,100,48.27,1569167.23,109,32.53,763836.99,64,23.14,1103074.36,75,16.74,1389119.66,238,1121511.49,111,1628758.28,111,785634.37,62,1127455.54,70,6052479.34,592,False,False,True
P0062,Urban Flyover,Power Plant,Medium,2870928,94,76,38,7.5,0.96,176,Feasible,,,401.12,272965.31,22,61.9,409193.78,30,77.52,518632.73,30,54.41,1350105.25,69,97.83,320030.92,24,88.33,305024.37,26,463978.47,38,575457.03,34,1559718.36,96,366518.59,32,3270696.82,226,False,False,True
P0063,Dam Reinforcement,Power Plant,High,5155299,52,33,64,1.36,0.52,128,Feasible,,,698.65,286251.4,21,25.34,596629.87,24,38.08,910048.86,23,21.2,2718935.45,45,42.27,643433.42,16,38.12,298374.36,21,629624.76,26,944760.0,23,2880879.65,50,679042.81,17,5432681.58,137,True,False,False
P0064,Industrial Complex,Road,Medium,3557489,71,80,45,0.67,0.73,124,Feasible,,,9583.01,936660.74,39,100.0,533842.22,21,100.0,929249.04,30,64.85,418910.09,19,52.77,738826.92,16,39.88,1024655.64,54,583994.2,29,984064.33,36,438588.51,22,764062.47,17,3795365.15,158,False,False,True
P0065,Dam Reinforcement,Building,Low,2773415,93,96,41,9.76,0.66,454,Feasible,,,1299.07,151714.03,35,79.56,362036.94,53,100.0,863376.46,110,86.73,788914.12,98,100.0,607373.45,158,48.13,172713.16,44,419950.85,72,989406.48,141,915114.22,133,671311.13,170,3168495.84,560,False,True,False
P0066,Industrial Complex,Water Infra,High,6000193,51,74,77,9.57,0.83,233,Feasible,,,2517.94,797068.0,43,89.29,1069970.94,51,99.74,2497572.09,73,41.42,1171747.52,37,66.92,463834.45,29,72.63,955869.86,60,1295453.66,74,2863543.77,81,1376340.15,47,547737.94,37,7038945.38,299,True,False,False
P0067,Smart Solar Grid,Road,Low,6702653,73,37,82,0.6,0.92,384,Not Feasible,,,16183.37,1612606.18,146,65.69,1035562.35,76,46.34,1694806.57,82,33.2,961631.04,41,20.21,1398046.86,39,19.56,1685676.58,171,1062830.78,81,1717590.3,81,962305.78,38,1398136.46,36,6826539.9,407,False,True,False
P0068,Industrial Complex,Bridge,High,3305413,83,45,47,4.43,0.68,292,Feasible,,,550.97,298705.64,24,37.28,642404.8,79,78.34,1468304.61,98,68.67,417928.22,47,26.57,478069.73,44,14.13,324474.06,26,725445.94,105,1643237.51,124,449294.21,48,507721.36,42,3650173.08,345,True,False,False
P0069,Industrial Complex,Building,High,4910197,76,96,84,1.86,0.71,339,Not Feasible,,,1707.07,314239.19,29,92.5,541742.17,48,100.0,1414918.45,84,61.66,1538416.04,81,100.0,1100881.14,97,47.1,351076.91,41,609404.71,70,1536163.14,103,1730561.19,118,1178824.27,111,5406030.22,443,True,False,False
P0070,Smart Solar Grid,Water Infra,Medium,6558019,90,38,63,4.85,0.99,324,Borderline,,,2886.51,930225.21,61,47.33,1145448.5,76,51.72,2575940.53,90,20.02,1274320.44,59,34.79,632084.32,38,36.15,1002426.88,67,1239529.18,86,2703495.02,86,1356787.79,61,673874.0,40,6976112.87,340,False,False,True
P0071,Industrial Complex,Power Plant,Low,6414709,50,89,62,8.3,0.89,143,Feasible,,,906.44,563643.66,16,70.93,750653.5,27,100.0,1002735.19,26,57.42,3314309.72,58,100.0,783366.92,17,100.0,627816.36,19,858814.01,37,1102810.0,29,3791863.5,79,896241.05,23,7277544.92,187,False,True,False
P0072,Urban Flyover,Bridge,Medium,1271836,57,44,56,9.51,0.95,577,Not Feasible,,,236.67,81172.06,32,29.99,307071.65,151,80.13,554142.41,235,63.87,194898.74,72,29.12,134551.14,87,16.9,89610.1,32,355494.7,194,631869.41,281,214977.21,72,146650.32,81,1438601.74,660,False,False,True
P0073,Highway Expansion,Power Plant,Low,4584702,72,70,85,6.34,0.72,289,Feasible,,,538.23,338196.28,39,57.77,492317.63,55,81.41,658359.82,55,45.49,2502598.56,103,93.53,593229.71,37,71.8,365203.89,44,543514.45,69,702681.51,58,2793812.23,136,649100.54,44,5054312.62,351,False,True,False
P0074,Smart Solar Grid,Bridge,Medium,3095505,87,51,36,3.54,0.62,525,Feasible,,,497.76,178389.82,36,37.2,786990.03,168,87.08,1314270.6,188,83.8,455588.58,64,31.85,360265.97,71,15.07,187550.27,38,867193.17,223,1443839.94,246,476512.73,65,370684.43,66,3345780.54,638,False,False,True
P0075,Highway Expansion,Water Infra,High,3299435,55,53,59,6.03,0.71,222,Borderline,,,1359.34,457650.67,36,65.51,660259.46,56,72.63,1249119.38,59,36.89,705497.51,37,40.75,226907.97,34,49.22,518903.28,45,753632.04,72,1378260.82,64,781333.93,41,253344.27,39,3685474.34,261,True,False,False
P0076,Smart Solar Grid,Bridge,Low,1196769,71,73,57,3.12,0.86,179,Feasible,,,252.6,88513.82,13,49.0,267153.44,44,100.0,511161.34,71,100.0,166463.37,24,52.41,163477.02,27,23.85,91893.36,14,290837.92,60,556478.33,96,173380.89,26,165649.69,25,1278240.19,221,False,True,False
P0077,Smart Solar Grid,Water Infra,Low,3658505,74,30,80,9.1,0.55,205,Feasible,,,1727.35,414203.64,36,35.35,674196.51,43,41.3,1536400.23,64,18.39,759886.44,35,27.48,273818.16,26,27.48,449697.38,36,736175.96,45,1640732.39,58,818731.19,34,295022.33,25,3940359.25,198,False,True,False
P0078,Dam Reinforcement,Road,High,2271741,67,39,28,8.7,0.64,374,Feasible,,,4601.31,594648.5,118,64.02,367946.43,68,51.7,592972.62,80,35.2,264015.14,51,21.18,452158.31,56,22.91,692483.56,147,423521.85,80,671828.24,86,295073.69,51,506206.0,56,2589113.34,420,True,False,False
P0079,Dam Reinforcement,Road,High,4769315,66,85,96,5.58,0.52,284,Feasible,,,7649.99,985078.36,92,100.0,719995.52,45,100.0,1337880.94,70,72.7,686206.69,38,53.11,1040153.48,39,40.87,1155396.08,133,844481.05,65,1530252.77,90,770541.64,45,1154413.36,43,5455084.9,376,True,False,False
P0080,Industrial Complex,Bridge,Medium,2046797,61,79,94,3.25,0.72,491,Feasible,,,371.57,148584.98,28,63.87,495120.88,144,100.0,873022.65,196,100.0,264399.97,64,53.03,265668.51,59,36.8,159762.81,33,550447.82,201,970577.97,274,281393.7,73,278385.94,62,2240568.24,643,False,False,True
P0081,Highway Expansion,Building,Low,4047262,55,41,80,2.93,0.91,286,Feasible,,,1445.76,252325.58,20,39.67,522977.83,36,65.59,1009506.35,53,34.3,1258521.22,73,47.94,1003931.02,103,17.51,259460.46,21,551172.83,42,1032689.98,53,1304401.66,78,1010315.33,93,4158040.26,287,False,True,False
